before_stopword,after_stopword
"['gue', 'gemas', 'banget', 'sama', 'sih', 'botak', 'sesekali', 'onana', 'di', 'ganti', 'dulu', 'kenapa', 'sih', 'memang', 'sebegitu', 'hebatnya', 'dia', 'sekali', 'saja', 'pengin', 'lihat', 'bagaimana', 'refleknya', 'kiper', 'pengganti', 'onana', 'susah', 'cleant', 'sheet', 'soalnya', 'jadi', 'coba', 'ganti', 'dulu', 'pertandingan', 'kayak']",gue gemas banget sih botak onana di ganti sih hebatnya pengin lihat refleknya kiper pengganti onana susah cleant sheet coba ganti pertandingan kayak
"['selesai', 'tuh', 'emyu']",selesai tuh emyu
"['emyu', 'kemana']",emyu kemana
"['kamu', 'enggak', 'apa-apa']",apa-apa
"['pliss', 'mending', 'menaksir', 'emyu']",pliss mending menaksir emyu
"['jadwal', 'manchester', 'united', 'dari', 'gue', 'hanya', 'ada', 'empat', 'laga', 'sulit', 'rashford', 'm', 'fernandes', 'm', 'rashford', 'adalah', 'pemain', 'streaky', 'alias', 'sekali', 'ketemu', 'sentuhannya', 'bakal', 'lanjut', 'terus', 'fernandes', 'pemain', 'kunci', 'emyu', 'meta', 'baru']",jadwal manchester united gue laga sulit rashford m fernandes m rashford pemain streaky alias ketemu sentuhannya fernandes pemain kunci emyu meta
"['entah', 'kenapa', 'musuh', 'kalo', 'lawan', 'emyu', 'jago', 'semua', 'najis', 'aneh']",musuh kalo lawan emyu jago najis aneh
"['santai', 'saja', 'buat', 'fan', 'baru', 'beberapa', 'pertandingan', 'jangan', 'kebakaran', 'jenggot', 'kalah', 'menang', 'wajar', 'apalagi', 'kena', 'red', 'card', 'tapi', 'buat', 'pelatih', 'ente', 'enggak', 'bisa', 'marah', 'ya', 'kepemain']",santai fan pertandingan kebakaran jenggot kalah menang wajar kena red card pelatih ente marah ya kepemain
"['mu', 'butuh', 'michael', 'carrick']",mu butuh michael carrick
"['sampai', 'kapan', 'ya', 'kata', 'biasakan', 'menonton', 'emyu', 'sampai', 'habis', 'ini', 'dipakai']",ya biasakan menonton emyu habis dipakai
"['eunha', 'demennya', 'cireng', 'gambar', 'emyu']",eunha demennya cireng gambar emyu
"['eunha', 'demennya', 'cireng', 'gambar', 'emyu']",eunha demennya cireng gambar emyu
"['sudah', 'waktunya']",
"['enggak', 'seru', 'banget', 'enggak', 'emosi', 'kamu']",seru banget emosi
"['saatnya', 'meramaikan', 'wa', 'nya', 'fandar']",meramaikan wa nya fandar
['assmbuhlah'],assmbuhlah
"['king', 'emyu', 'is', 'bek', 'manchesterunited']",king emyu is bek manchesterunited
"['erik', 'ten', 'hag', 'ketika', 'diwawancara', 'apakah', 'sancho', 'akan', 'bertahan', 'untuk', 'saat', 'ini', 'setahu', 'saya', 'iya', 'manchesterunited', 'sancho', 'kingemyu']",erik ten hag diwawancara sancho bertahan setahu iya manchesterunited sancho kingemyu
"['obrolan', 'saya', 'bersama', 'anak', 'lanang', 'saya', 'mas', 'boleh', 'suka', 'klub', 'apa', 'saja', 'asal', 'jangan', 'anak', 'kenapa', 'memang', 'ya', 'saya', 'klub', 'itu', 'logo', 'nya', 'setan', 'enggak', 'boleh', 'suka', 'atau', 'berteman', 'sama', 'setan', 'anak', 'oh', 'iya', 'saya']",obrolan anak lanang mas suka klub anak ya klub logo nya setan suka berteman setan anak oh iya
"['sudah', 'mah', 'hari', 'senin', 'sih', 'emyu', 'malah', 'kalah', 'lagi', 'jadi', 'pengin', 'cepat', 'ganti', 'platih', 'ini', 'mah', 'manchesterunited', 'bapuk']",mah senin sih emyu kalah pengin cepat ganti platih mah manchesterunited bapuk
"['ingin', 'mengatai', 'klub', 'anjing', 'tapi', 'sayang']",mengatai klub anjing sayang
"['baru', 'kemarin', 'lihat', 'emyu', 'main', 'rasanya', 'bangga', 'sekarang', 'malah', 'balik', 'ke', 'setelan', 'pabrik', 'emyu', 'mu', 'manchesterunited']",kemarin lihat emyu main bangga ke setelan pabrik emyu mu manchesterunited
"['sitik', 'engkas', 'degradasi', 'yuk', 'bisa', 'yuk', 'degradasi', 'wingi', 'sing', 'cangkeme', 'hastag', 'ten', 'hag', 'out', 'endi', 'ambune', 'wis', 'diwarah', 'penyakite', 'emyu', 'iki', 'pemain', 'uduk', 'pelatih', 'longgor', 'erro', 'opo', 'arek', 'longgor', 'sak', 'congore', 'diwehi', 'pelatih', 'apik', 'malah', 'dibuwak', 'memilih', 'amorim', 'manchesterunited']",sitik engkas degradasi yuk yuk degradasi wingi sing cangkeme hastag ten hag out endi ambune wis diwarah penyakite emyu iki pemain uduk pelatih longgor erro opo arek longgor sak congore diwehi pelatih apik dibuwak memilih amorim manchesterunited
"['utamakan', 'orangtua', 'mu', 'diri', 'mu', 'impian', 'mu', 'dan', 'keinginan', 'mu', 'lalu', 'mu', 'emyu', 'derby', 'nanti', 'malam', 'gees', 'lawan', 'nya', 'tim', 'biasa', 'saja', 'menang', 'lagi', 'ini', 'mah', 'manchesterunited', 'emyu']",utamakan orangtua mu mu impian mu mu mu emyu derby malam gees lawan nya tim menang mah manchesterunited emyu
"['ubur', 'ubur', 'ikan', 'lele', 'duet', 'onana', 'dalot', 'manyala', 'boleh']",ubur ubur ikan lele duet onana dalot manyala
"['onana', 'anjeng']",onana anjeng
"['memang', 'emyu', 'kenapa']",emyu
"['erik', 'ten', 'hag', 'yakin', 'jika', 'rasmus', 'holjund', 'dan', 'mason', 'mount', 'mungkin', 'ada', 'dalam', 'squad', 'melawan', 'crystal', 'palace', 'manchesterunited', 'kingemyu']",erik ten hag rasmus holjund mason mount squad melawan crystal palace manchesterunited kingemyu
"['mu', 'tuh', 'klub', 'sepak', 'bola', 'bukan', 'roller', 'coaster', 'tapi', 'kenapa', 'naik', 'turun', 'terus', 'performanya']",mu tuh klub sepak bola roller coaster turun performanya
"['mc', 'kenna', 'tahu', 'banget', 'kelemahan', 'pemain', 'emyu', 'di', 'pressing', 'ketat', 'kelabakan', 'kelihatan', 'ada', 'beberapa', 'pemain', 'iq', 'jongkok', 'tengahnya', 'kalah', 'telak', 'hutrison', 'sama', 'delap', 'saja', 'bikin', 'kocar', 'kacir', 'welcome', 'tapi', 'business', 'man', 'united', 'amorim']",mc kenna banget kelemahan pemain emyu di pressing ketat kelabakan pemain iq jongkok tengahnya kalah telak hutrison delap bikin kocar kacir welcome business man united amorim
"['luke', 'shaw', 'akan', 'segera', 'kembali', 'dari', 'cideranya', 'setelah', 'jeda', 'internasional', 'dan', 'akan', 'tersedia', 'di', 'laga', 'southamton', 'manchesterunited', 'shaw', 'kingemyu']",luke shaw cideranya jeda internasional tersedia di laga southamton manchesterunited shaw kingemyu
"['nanti', 'kalo', 'lihat', 'saya', 'di', 'wiki', 'jadi', 'malu']",kalo lihat di wiki malu
"['masih', 'kak']",kak
"['semalam', 'habis', 'menonton', 'emyu', 'pasti']",semalam habis menonton emyu
"['mau', 'balas', 'komen', 'eh', 'tnyata', 'sehaluan', 'sama']",balas komen eh tnyata sehaluan
"['big', 'chances', 'terbanyak', 'tapi', 'gol', 'cuma', 'lucu', 'manchesterunited', 'kingemyu']",big chances gol lucu manchesterunited kingemyu
"['alhamdulillah', 'bisa', 'menang', 'walopun', 'hoki', 'dengan', 'playing', 'style', 'control', 'counter', 'yang', 'hampir', 'mirip', 'dengan', 'mou', 'defend', 'counter', 'ya', 'enggak', 'bisa', 'berharap', 'banyak', 'jika', 'berhadapan', 'dengan', 'big', 'four', 'rasanya', 'perjalanan', 'akan', 'dinamik', 'seperti', 'musim', 'kemarin', 'emyu', 'manchesterunited']",alhamdulillah menang walopun hoki playing style control counter mou defend counter ya berharap berhadapan big four perjalanan dinamik musim kemarin emyu manchesterunited
"['memang', 'hebat', 'dan', 'dahsyat', 'ini', 'klub', 'kalah', 'jadi', 'berita', 'utama', 'menang', 'jadi', 'trending', 'treble', 'jadi', 'trending', 'player', 'ini', 'out', 'jadi', 'trending', 'pelatih', 'ini', 'out', 'pun', 'jadi', 'trending', 'ggmu', 'go', 'emyu', 'manchesterunited']",hebat dahsyat klub kalah berita utama menang trending treble trending player out trending pelatih out trending ggmu go emyu manchesterunited
"['what', 'dd', 'emyu', 'kalah']",what dd emyu kalah
"['menang', 'sekali', 'kalah', 'sering', 'kali']",menang kalah kali
"['tanggal', 'emyu', 'imbang', 'tanggal', 'emyu', 'kalah', 'tanggal', 'emyu', 'kalah', 'mufc', 'manchesterunited', 'amorim', 'brunofernandes', 'onana']",tanggal emyu imbang tanggal emyu kalah tanggal emyu kalah mufc manchesterunited amorim brunofernandes onana
"['memikirkan', 'ava', 'sih', 'tarik', 'napas', 'sesungguhnya', 'orang', 'yang', 'terburu', 'buru', 'adalah', 'teman', 'nya', 'emyu', 'bah']",memikirkan ava sih tarik napas sesungguhnya orang terburu buru teman nya emyu bah
"['fan', 'emyu', 'itu', 'miskin', 'emyu', 'enggak', 'akan', 'mungkin', 'beli', 'jersey', 'asli', 'karena', 'beli', 'di', 'tanah', 'abang', 'kata', 'salah', 'podcaster', 'fan', 'liverpool']",fan emyu miskin emyu beli jersey asli beli di tanah abang salah podcaster fan liverpool
"['sekuat', 'apa', 'di', 'tongkrongan', 'dia', 'kuat', 'banget', 'itu', 'fan', 'emyu', 'post', 'terbayang', 'kan', 'emyu', 'zaman', 'sekarang', 'kayak', 'apa', 'tempaan', 'mentalnya', 'cuman', 'salahnya', 'beliau', 'ini', 'denial', 'n', 'pas', 'rusak', 'mengajak', 'diajakin', 'berbenah', 'paling', 'kena', 'guilt', 'tripping', 'andanya']",sekuat di tongkrongan kuat banget fan emyu post terbayang emyu zaman kayak tempaan mentalnya cuman salahnya beliau denial n pas rusak mengajak diajakin berbenah kena guilt tripping andanya
"['wkwk', 'sampah']",wkwk sampah
"['pasti', 'adikmu', 'fan', 'emyu']",adikmu fan emyu
['xixixi'],xixixi
"['saatnya', 'meramaikan', 'wa', 'nya', 'fandar']",meramaikan wa nya fandar
['emyu'],emyu
"['aet', 'manchester', 'united', 'liverpool', 'mctominay', 'antony', 'rashford', 'amad', 'diallo', 'amad', 'diallo', 'mac', 'allister', 'salah', 'elliott', 'gila', 'gila', 'gila', 'emyu', 'ke', 'semifinal']",aet manchester united liverpool mctominay antony rashford amad diallo amad diallo mac allister salah elliott gila gila gila emyu ke semifinal
"['onani', 'bangsat', 'lagi', 'kiper', 'jancok']",onani bangsat kiper jancok
"['tadi', 'sempat', 'baca', 'postingan', 'akun', 'fanbase', 'mu', 'katanya', 'bayindir', 'enggak', 'fit', 'ya', 'min', 'alamat', 'onana', 'bakalan', 'dipasang', 'nih', 'semoga', 'semua', 'baikbaik', 'saja', 'muku']",baca postingan akun fanbase mu bayindir fit ya min alamat onana dipasang nih semoga baikbaik muku
"['izinkan', 'saya', 'di', 'era', 'kebangkitan', 'emyu', 'ini', 'timeline', 'penuh', 'dengan', 'klub', 'terbaik', 'dengan', 'penduduk', 'bumi', 'adalah', 'fan', 'klub', 'itu', 'ya', 'betul', 'manchester', 'united']",izinkan di era kebangkitan emyu timeline penuh klub terbaik penduduk bumi fan klub ya manchester united
"['auah', 'terserah', 'lu', 'saja', 'lah']",auah terserah lu
"['ada', 'sisa', 'menit', 'waktu', 'normal', 'di', 'babak', 'kedua', 'manchester', 'united', 'liverpool', 'premier', 'league', 'susah', 'di', 'prediksi', 'entah', 'apa', 'yang', 'bakal', 'terjadi', 'di', 'babak', 'kedua', 'emyu', 'bisa', 'kejar', 'skor', 'terus', 'comeback', 'atau', 'liverpool', 'kill', 'the', 'game', 'munliv']",sisa menit normal di babak manchester united liverpool premier league susah di prediksi di babak emyu kejar skor comeback liverpool kill the game munliv
"['bukti', 'cintaku', 'sama', 'emyu']",bukti cintaku emyu
"['klub', 'pekok']",klub pekok
"['maksudnya', 'terlempar', 'dari', 'fa', 'cup', 'kalau', 'lawan', 'emyu', 'menang', 'kan', 'sekarang', 'jadwal', 'main', 'jadi', 'enggak', 'bisa', 'ke', 'dubaj']",maksudnya terlempar fa cup lawan emyu menang jadwal main ke dubaj
"['out', 'teh', 'hag']",out teh hag
