before_stopword,after_stopword
"['kalah', 'mulu', 'anjir']",kalah mulu anjir
"['oalah', 'mengira', 'ada', 'tabel', 'begitu']",oalah tabel
"['menonton', 'emyu']",menonton emyu
"['pliss', 'mending', 'menaksir', 'emyu']",pliss mending menaksir emyu
"['pasti', 'kalah']",kalah
"['ahli', 'sejarah']",ahli sejarah
"['jujur', 'kemarin', 'sangat', 'percaya', 'sama', 'nih', 'pelatih', 'ajax', 'tapi', 'makin', 'kesini', 'kepercayaan', 'semakin', 'luntur', 'dengan', 'melihat', 'beberapa', 'keputusan', 'dia', 'di', 'lapangan', 'atau', 'diluar', 'lapangan', 'sekalipun', 'terimakasih', 'dan', 'sampai', 'jumpa', 'tenhagout', 'manchesterunited', 'emyu']",jujur kemarin percaya nih pelatih ajax kesini kepercayaan luntur keputusan di lapangan diluar lapangan terimakasih jumpa tenhagout manchesterunited emyu
"['pasang', 'saja', 'onana', 'terus']",pasang onana
"['emyu', 'jago', 'amat', 'manchesterunited']",emyu jago manchesterunited
"['fun', 'fact', 'kevin', 'diks', 'bagian', 'dari', 'skuat', 'fc', 'ke', 'benhavn', 'yang', 'mengalahkan', 'manchester', 'united', 'di', 'champions', 'league', 'musim', 'lalu', 'emyu', 'pun', 'terjungkal', 'jadi', 'penghuni', 'dasar', 'klasemen']",fun fact kevin diks skuat fc ke benhavn mengalahkan manchester united di champions league musim emyu terjungkal penghuni dasar klasemen
"['pasti', 'adikmu', 'fan', 'emyu']",adikmu fan emyu
"['akankah', 'amorim', 'ngamuk', 'lagi', 'mecahin', 'mangkok', 'gelas', 'di', 'ruang', 'ganti', 'emyu']",amorim ngamuk mecahin mangkok gelas di ruang ganti emyu
"['anjing', 'kalian', 'semua']",anjing
"['bajingan', 'emyu', 'bisa', 'menang', 'tropi', 'lagi', 'inilah', 'hari', 'kemerdekaan', 'ku', 'anjing']",bajingan emyu menang tropi kemerdekaan ku anjing
"['emyu', 'nih', 'bos', 'senggol', 'dong']",emyu nih bos senggol
"['senang', 'rasanya', 'tiap', 'pekan', 'dapat', 'hiburan', 'dari', 'king', 'emyu', 'hihi', 'kok', 'ada', 'yang', 'tim', 'yang', 'kalah', 'zaman', 'spurs', 'wkwk']",senang pekan hiburan king emyu hihi tim kalah zaman spurs wkwk
"['mu', 'tidak', 'buruk', 'kok', 'jaman', 'rooney']",mu buruk jaman rooney
"['pintar', 'banget', 'kalo', 'jualan']",pintar banget kalo jualan
"['rungkad', 'hancur', 'lebur']",rungkad hancur lebur
"['izinkan', 'saya', 'di', 'era', 'kebangkitan', 'emyu', 'ini', 'timeline', 'penuh', 'dengan', 'klub', 'terbaik', 'dengan', 'penduduk', 'bumi', 'adalah', 'fan', 'klub', 'itu', 'ya', 'betul', 'manchester', 'united']",izinkan di era kebangkitan emyu timeline penuh klub terbaik penduduk bumi fan klub ya manchester united
"['enggak', 'ah', 'nanti', 'bapuk', 'seperti']",ah bapuk
"['eh', 'kepengen', 'deh', 'menonton', 'bareng', 'emyu', 'kayak', 'begini', 'kayaknya', 'seru']",eh kepengen deh menonton bareng emyu kayak kayaknya seru
"['menonton', 'emyu']",menonton emyu
"['sudah', 'dibilang', 'manchester', 'itu', 'merah', 'bukan', 'biru', 'manchester', 'is', 'red', 'emyu', 'terbaik', 'manchester', 'city', 'sepele', 'mcimun', 'manchesterderby', 'manchesterisred', 'manchesterunited', 'ggmu', 'mufc', 'united', 'emyu', 'manunited', 'manutd']",dibilang manchester merah biru manchester is red emyu terbaik manchester city sepele mcimun manchesterderby manchesterisred manchesterunited ggmu mufc united emyu manunited manutd
"['sama', 'sama', 'admin']",admin
"['waktunya', 'muntot']",muntot
"['wkwowk', 'kena', 'geprek', 'sama', 'ayam', 'geprek']",wkwowk kena geprek ayam geprek
"['casemiro', 'akan', 'mempertahankan', 'posisinya', 'di', 'manchester', 'united', 'dan', 'akan', 'menolak', 'semua', 'tawaran', 'yang', 'masuk', 'manchesterunited', 'casemiro', 'kingemyu']",casemiro mempertahankan posisinya di manchester united menolak tawaran masuk manchesterunited casemiro kingemyu
"['emyu', 'maksudnya']",emyu maksudnya
['mampus'],mampus
"['bersama', 'botak', 'angka', 'emyu', 'otiwi', 'banjir', 'tropi', 'manchester', 'united', 'southampton', 'garnacho', 'ggmu', 'mufc', 'soumu']",botak angka emyu otiwi banjir tropi manchester united southampton garnacho ggmu mufc soumu
"['kasih', 'paham', 'min']",kasih paham min
"['juventus', 'telah', 'mundur', 'dalam', 'negosiasi', 'jadon', 'sancho', 'sepertinya', 'tidak', 'akan', 'ada', 'drama', 'deadline', 'day', 'transfer', 'dan', 'sancho', 'akan', 'bertahan', 'musim', 'ini', 'manchesterunited', 'sancho', 'kingemyu']",juventus mundur negosiasi jadon sancho drama deadline day transfer sancho bertahan musim manchesterunited sancho kingemyu
"['ya', 'memang', 'alasan', 'wkwk']",ya alasan wkwk
"['hasil', 'pertandingan', 'manchester', 'united', 'musim', 'ini', 'bagaimana', 'fan', 'emyu', 'masih', 'percaya', 'ten', 'hag']",hasil pertandingan manchester united musim fan emyu percaya ten hag
"['kapan', 'terakhir', 'kali', 'manchester', 'united', 'cetak', 'gol', 'di', 'babak', 'pertama']",kali manchester united cetak gol di babak
"['pens', 'emyu']",pens emyu
['wkwkwkwk'],wkwkwkwk
"['pemain', 'manchester', 'united', 'yang', 'berlaga', 'di', 'jeda', 'internasional', 'telah', 'kembali', 'semua', 'dengan', 'keadaan', 'tanpa', 'cidera', 'manchesterunited', 'kingemyu']",pemain manchester united berlaga di jeda internasional cidera manchesterunited kingemyu
"['kenangan', 'lama', 'boleh']",kenangan
"['jangan', 'emyu']",emyu
"['h', 'emyu']",h emyu
"['cireng', 'emyu']",cireng emyu
"['bubarin', 'saja', 'aib']",bubarin aib
"['emyu', 'vs', 'bola', 'mati', 'fc', 'manchesterunited']",emyu vs bola mati fc manchesterunited
"['chelsea', 'masuk', 'dalam', 'perburuan', 'jadon', 'sancho', 'manchesterunited', 'sancho', 'kingemyu']",chelsea masuk perburuan jadon sancho manchesterunited sancho kingemyu
"['menonton', 'emyu']",menonton emyu
"['ayo', 'samgong', 'wae', 'daripada', 'raiso', 'bal', 'balan']",ayo samgong wae raiso bal balan
"['lisandro', 'martinez', 'memenangkan', 'duel', 'sebagai', 'left', 'back', 'di', 'timnas', 'argentina', 'hari', 'ini', 'manchesterunited', 'licha', 'kingemyu']",lisandro martinez memenangkan duel left back di timnas argentina manchesterunited licha kingemyu
"['ot', 'sudah', 'enggak', 'angker', 'lagi', 'bangsta']",ot angker bangsta
"['buejat', 'onana', 'mek', 'oleh', 'nilai', 'iku', 'angka', 'opo', 'gaji', 'fresh', 'graduate', 'cak']",buejat onana mek nilai iku angka opo gaji fresh graduate cak
"['nambahi', 'pikiran', 'saja']",nambahi pikiran
"['ora', 'pss', 'ora', 'emyu', 'isine', 'marai', 'nguntal', 'oskadon']",ora pss ora emyu isine marai nguntal oskadon
"['newcastle', 'akan', 'mengalihkan', 'tergetnya', 'ke', 'antony', 'jika', 'pendekatan', 'mereka', 'untuk', 'elanga', 'gagal', 'manchester', 'united', 'akan', 'menjualnya', 'diangka', 'm', 'eddie', 'howe', 'percaya', 'mereka', 'akan', 'mendapaktan', 'dengan', 'harga', 'yang', 'sesuai', 'gue', 'doain', 'kekabul', 'deh', 'manchesterunited', 'antony']",newcastle mengalihkan tergetnya ke antony pendekatan elanga gagal manchester united menjualnya diangka m eddie howe percaya mendapaktan harga sesuai gue doain kekabul deh manchesterunited antony
"['ansu', 'fati', 'saja', 'bang', 'emyu']",ansu fati bang emyu
"['antony', 'tidak', 'ada', 'niatan', 'untuk', 'meninggalkan', 'manchester', 'united', 'dan', 'juga', 'tidak', 'ada', 'ketertarikan', 'dari', 'fenerbache', 'manchesterunited', 'antony', 'kingemyu']",antony niatan meninggalkan manchester united ketertarikan fenerbache manchesterunited antony kingemyu
"['gas', 'mantap']",gas mantap
"['ayo', 'samgong', 'wae', 'daripada', 'raiso', 'bal', 'balan']",ayo samgong wae raiso bal balan
"['mau', 'yang', 'hitam', 'dong', 'min']",hitam min
"['dan', 'apa', 'onana', 'masih', 'dikasih', 'kesempatan', 'dulur', 'awokwok', 'untung', 'menang']",onana dikasih kesempatan dulur awokwok untung menang
"['maine', 'sing', 'apik', 'yoh', 'mas', 'tenan', 'ki']",maine sing apik yoh mas tenan ki
"['entah', 'kenapa', 'musuh', 'kalo', 'lawan', 'emyu', 'jago', 'semua', 'najis', 'aneh']",musuh kalo lawan emyu jago najis aneh
"['masih', 'kak']",kak
"['emyu', 'gaperna', 'menang']",emyu gaperna menang
"['lindegard', 'yang', 'gue', 'ingat', 'pakai', 'topi', 'eriksen', 'sampai', 'ke', 'dorgu', 'melihat', 'semua', 'gue', 'matchnya']",lindegard gue pakai topi eriksen ke dorgu gue matchnya
"['goa', 'di', 'paling', 'ujung', 'ya']",goa di ujung ya
"['arsenal', 'manchester', 'united', 'pemain', 'arsenal', 'tidak', 'bisa', 'mengalahkan', 'emyu', 'yang', 'main', 'dengan', 'pemain', 'dari', 'menit', 'an', 'sampai', 'adu', 'pinalti', 'kasihan']",arsenal manchester united pemain arsenal mengalahkan emyu main pemain menit an adu pinalti kasihan
"['dia', 'yang', 'mengomong', 'gua', 'yang', 'diejekin', 'sama', 'fan', 'emyu']",mengomong gua diejekin fan emyu
"['manchester', 'united', 'butuh', 'penguatan', 'pada', 'banyak', 'posisi', 'enggak', 'coba', 'rwb', 'lwb', 'cuma', 'sama', 'cf', 'minimal', 'pemain', 'baru', 'untuk', 'emyu']",manchester united butuh penguatan posisi coba rwb lwb cf minimal pemain emyu
"['alhamdulillah', 'cuma', 'di', 'bantai', 'pelatih', 'eth', 'harus', 'di', 'pertahankan', 'untuk', 'tahun', 'kedepan']",alhamdulillah di bantai pelatih eth di pertahankan kedepan
"['ruwett', 'ruwett', 'bek', 'yang', 'sehat', 'cuma', 'dia', 'doangg', 'anjir']",ruwett ruwett bek sehat doangg anjir
"['posisi', 'klasemen', 'emyu', 'sekarang', 'mirip', 'pada', 'masa', 'perang', 'dunia', 'ke', 'hampir', 'degradasi', 'dulu', 'cuma', 'beli', 'pemain', 'selamat', 'degradasi', 'sekarang', 'beli', 'pemain', 'malah', 'pengin', 'degradasi', 'management', 'kalo', 'masih', 'percaya', 'hag', 'goblok', 'tolol', 'banget', 'deh', 'ethout', 'manchesterunited']",posisi klasemen emyu perang dunia ke degradasi beli pemain selamat degradasi beli pemain pengin degradasi management kalo percaya hag goblok tolol banget deh ethout manchesterunited
"['aih', 'parah']",aih parah
"['dan', 'apa', 'onana', 'masih', 'dikasih', 'kesempatan', 'dulur', 'awokwok', 'untung', 'menang']",onana dikasih kesempatan dulur awokwok untung menang
"['eth', 'presscon', 'after', 'match', 'ya', 'ini', 'hasil', 'yang', 'bagus', 'untuk', 'kami', 'setidaknya', 'kami', 'hanya', 'kebobolan', 'gol', 'premierleague', 'chelsea', 'emyu', 'manchesterunited', 'mufc', 'tenhagout']",eth presscon after match ya hasil bagus kebobolan gol premierleague chelsea emyu manchesterunited mufc tenhagout
"['sadar', 'diri', 'selamat']",sadar selamat
"['onana', 'satusatunya', 'kiper', 'yang', 'bikin', 'fan', 'jantung', 'cardio', 'gratis', 'tiap', 'match']",onana satusatunya kiper bikin fan jantung cardio gratis match
"['manchester', 'united', 'butuh', 'penguatan', 'pada', 'banyak', 'posisi', 'enggak', 'coba', 'rwb', 'lwb', 'cuma', 'sama', 'cf', 'minimal', 'pemain', 'baru', 'untuk', 'emyu']",manchester united butuh penguatan posisi coba rwb lwb cf minimal pemain emyu
"['goal', 'liverpool', 'manchester', 'united', 'aduh', 'anfield', 'jadi', 'taman', 'kanak', 'kanak', 'emyu', 'nih', 'mufc', 'manchesterunited', 'liverpool']",goal liverpool manchester united aduh anfield taman kanak kanak emyu nih mufc manchesterunited liverpool
"['kok', 'belum', 'ada', 'pengumuman', 'pemecatan', 'ten', 'hag', 'wkwkwk']",pengumuman pemecatan ten hag wkwkwk
"['cie', 'bentar', 'lagi', 'ulang', 'tahun', 'aku', 'mau', 'kado', 'dong', 'kalau', 'aku', 'pengin', 'ajak', 'manchester', 'united', 'ke', 'planetku', 'karena', 'aku', 'enggak', 'bisa', 'hidup', 'tanpa', 'manchester', 'united', 'kalau', 'ada', 'yang', 'suka', 'relay', 'itu', 'orang', 'aneh', 'sih', 'siapa', 'juga', 'yang', 'suka', 'game', 'toxic', 'itu']",cie bentar ulang kado pengin ajak manchester united ke planetku hidup manchester united suka relay orang aneh sih suka game toxic
"['lebih', 'tepatnya', 'pemain', 'sebagus', 'apapun', 'karirnyaperformanya', 'menurun', 'kalo', 'sudah', 'jadi', 'pemain', 'emyu']",tepatnya pemain sebagus apapun karirnyaperformanya menurun kalo pemain emyu
"['chelsea', 'memberi', 'opsi', 'untuk', 'sancho', 'peminjaman', 'dengan', 'biaya', 'pinjaman', 'lebih', 'mahal', 'tetapi', 'tidak', 'ada', 'wajib', 'beli', 'di', 'peminjaman', 'gratis', 'dengan', 'wajib', 'beli', 'di', 'membayar', 'seluruh', 'gaji', 'sancho', 'dan', 'emyu', 'memilih', 'opsi', 'ke', 'manchesterunited', 'sancho']",chelsea opsi sancho peminjaman biaya pinjaman mahal wajib beli di peminjaman gratis wajib beli di membayar gaji sancho emyu memilih opsi ke manchesterunited sancho
"['wkwwkwk', 'katanya', 'doangklau', 'liverpool', 'di', 'bilang', 'satu']",wkwwkwk doangklau liverpool di bilang
"['resmi', 'trebel', 'hanya', 'di', 'pegang', 'emyu', 'dan', 'city', 'lessgo']",resmi trebel di pegang emyu city lessgo
"['klub', 'papan', 'bawah', 'boleh']",klub papan
"['carabao', 'cup', 'manchester', 'united', 'vs', 'barnsley', 'old', 'trafford', 'stadium', 'rabu', 'september', 'kok', 'wib', 'manchesterunited', 'kingemyu']",carabao cup manchester united vs barnsley old trafford stadium rabu september wib manchesterunited kingemyu
"['patrick', 'dorgu', 'menjadi', 'pemain', 'denmark', 'kedelapan', 'di', 'tim', 'senior', 'manchester', 'united']",patrick dorgu pemain denmark kedelapan di tim senior manchester united
"['dari', 'kandang', 'emyu', 'ke', 'kandang', 'chelsea']",kandang emyu ke kandang chelsea
"['selesai', 'itu', 'emyu']",selesai emyu
"['rawr', 'menyala', 'terima', 'kasih', 'sayang', 'i', 'love', 'lu', 'so', 'muchh', 'ggmu', 'manchester', 'manchesterunited', 'emyu', 'emyuklubhebat', 'onana', 'onanadigantijadim', 'aartenpaes']",rawr menyala terima kasih sayang i love lu so muchh ggmu manchester manchesterunited emyu emyuklubhebat onana onanadigantijadim aartenpaes
"['stikernya', 'martinez']",stikernya martinez
"['suara', 'fan', 'manchester', 'united', 'usai', 'lawan', 'liverpool', 'bangga', 'dong', 'tapi', 'harusnya', 'emyu', 'menang', 'sih', 'baca', 'selengkapnya', 'l', 'beritabolaterkini', 'beritabolaterbaru', 'beritabola']",suara fan manchester united lawan liverpool bangga emyu menang sih baca selengkapnya l beritabolaterkini beritabolaterbaru beritabola
"['wes', 'jam', 'wib', 'iseh', 'meneng', 'wae', 'ra', 'ngetwit', 'ngopoe']",wes jam wib iseh meneng wae ra ngetwit ngopoe
"['butuh', 'keberanian', 'dan', 'ketabahan', 'tingkat', 'tinggi', 'untuk', 'bersyukur', 'atas', 'mu', 'selamat', 'hari', 'senin', 'om', 'ario']",butuh keberanian ketabahan tingkat bersyukur mu selamat senin om ario
"['setiap', 'lihat', 'lineup', 'emyu', 'oke', 'ini', 'kayaknya', 'bakal', 'jadi', 'malam', 'panjang', 'lagi']",lihat lineup emyu oke kayaknya malam
"['bocil', 'ini', 'fan', 'emyu', 'sejak', 'lahir', 'nama', 'nya', 'pakai', 'nama', 'pemain', 'dan', 'pelatih', 'emyu', 'derinfobola', 'football', 'kualifikasipialadunia', 'manchesterunited']",bocil fan emyu lahir nama nya pakai nama pemain pelatih emyu derinfobola football kualifikasipialadunia manchesterunited
['bangsat'],bangsat
"['enggak', 'usah', 'komen', 'enggak', 'usah', 'komen', 'enggak', 'usah', 'komen']",komen komen komen
"['min', 'pengin', 'dibikinin', 'juga']",min pengin dibikinin
"['emyu', 'tolol']",emyu tolol
"['sama', 'saja', 'dasar', 'bocil', 'emyu']",dasar bocil emyu
"['untung', 'enggak', 'menonton']",untung menonton
"['ya', 'itu', 'sudah', 'enggak', 'usah', 'disebut', 'lagi', 'gan', 'semua', 'yang', 'nyebut', 'diri', 'mereka', 'fan', 'emyu', 'sudah', 'tahu', 'sumber', 'hutang', 'ratusan', 'juta', 'united', 'datang', 'dari', 'mana', 'plnya', 'juga', 'sialan', 'baru', 'bikin', 'peraturan', 'yang', 'against', 'pembelian', 'macam', 'itu', 'barubaru', 'ini', 'mereka', 'cuma', 'manfa']",ya gan nyebut fan emyu sumber hutang ratusan juta united plnya sialan bikin peraturan against pembelian barubaru manfa
"['tanggal', 'berapa', 'lagi', 'next', 'match', 'nya', 'min', 'pl', 'nya', 'ya', 'nuhun']",tanggal next match nya min pl nya ya nuhun
"['kok', 'han', 'ya', 'min', 'otw', 'menonton', 'leicester', 'meski', 'papan', 'bawah', 'kalo', 'pertandingan', 'cup', 'lumayan', 'ngotot', 'biasanya']",han ya min otw menonton leicester papan kalo pertandingan cup lumayan ngotot
"['laga', 'manunited', 'legends', 'kemarin', 'mendapatkan', 'dana', 'sumbangan', 'sebesar', 'm', 'class', 'is', 'permanent', 'manchesterunited', 'kingemyu']",laga manunited legends kemarin dana sumbangan m class is permanent manchesterunited kingemyu
"['bayern', 'munchen', 'pesta', 'gol', 'manchester', 'united', 'pesta', 'gol', 'tengah', 'pekan', 'yang', 'sempurna', 'untuk', 'fan', 'emyu', 'dan', 'bayern', 'selamat']",bayern munchen pesta gol manchester united pesta gol pekan sempurna fan emyu bayern selamat
"['enggak', 'ada', 'kebanggaan', 'alias', 'kalah', 'mulu', 'anjiirr']",kebanggaan alias kalah mulu anjiirr
"['fa', 'cup', 'cuma', 'emyu', 'doang', 'ya', 'bisa', 'lah', 'juara', 'fa', 'cup', 'musim', 'ini']",fa cup emyu doang ya juara fa cup musim
"['liverpool', 'manchester', 'united', 'ini', 'emyu', 'apa', 'madrid', 'woyy', 'livmun', 'premierleague']",liverpool manchester united emyu madrid woyy livmun premierleague
"['di', 'tanya', 'premier', 'league', 'apa']",di premier league
"['koyok', 'biasane']",koyok biasane
"['amorim', 'pecat', 'sih', 'enggak', 'ada', 'kemajuan', 'sudah', 'bulan']",amorim pecat sih kemajuan
"['tapi', 'jangan', 'ke', 'emyu']",ke emyu
"['jadi', 'fan', 'emyu', 'kak', 'soalnya', 'saya', 'begitu', 'kaya', 'merasa', 'lebih', 'tertantang', 'buat', 'hidup', 'lebih', 'lama']",fan emyu kak kaya tertantang hidup
"['soalnya', 'tim', 'nya', 'lagi', 'menyala']",tim nya menyala
"['sudah', 'jadikan', 'striker', 'saja', 'emyu', 'enggak', 'punya', 'striker']",jadikan striker emyu striker
"['lionel', 'scaloni', 'hari', 'ini', 'dia', 'garnacho', 'mengerti', 'semuanya', 'dia', 'melakukannya', 'dengan', 'baik', 'dan', 'kelak', 'dia', 'adalah', 'pemain', 'yang', 'akan', 'memberikan', 'dampak', 'bagi', 'kita', 'manchesterunited', 'garnacho', 'kingemyu']",lionel scaloni garnacho mengerti melakukannya kelak pemain dampak manchesterunited garnacho kingemyu
"['anjir', 'langsung', 'goll', 'ini', 'emyu', 'manchesterunited']",anjir langsung goll emyu manchesterunited
"['glory', 'glory', 'manutd', 'katanya', 'tapi', 'akhirakhir', 'ini', 'lebih', 'ke', 'sorry', 'sorry', 'manutd']",glory glory manutd akhirakhir ke sorry sorry manutd
"['segar', 'ndasmu']",segar ndasmu
"['awal', 'masuk', 'emyu', 'sbnrnya', 'bagus', 'saja', 'semenjak', 'unjuk', 'skil', 'gasing', 'di', 'uel', 'lgngsung', 'di', 'bully', 'habis', 'an', 'sama', 'legend', 'emyu']",masuk emyu sbnrnya bagus semenjak unjuk skil gasing di uel lgngsung di bully habis an legend emyu
"['tumbango', 'dewe']",tumbango dewe
"['jujur', 'a', 'aku', 'masih', 'percaya', 'dengan', 'kalimat', 'trust', 'the', 'process', 'walaupun', 'sudah', 'tahun']",jujur a percaya kalimat trust the process
"['rasmus', 'dan', 'mason', 'telah', 'kembali', 'berlatih', 'manchesterunited', 'kingemyu']",rasmus mason berlatih manchesterunited kingemyu
"['ternyata', 'dosennya', 'skorskit', 'manchesterunited', 'emyu', 'footballfunny']",dosennya skorskit manchesterunited emyu footballfunny
"['minggu', 'malam', 'hujan', 'deras', 'squidward', 'di', 'tv', 'bahas', 'realmadrid', 'vs', 'manchester', 'united', 'azka', 'cek', 'lovescoutep', 'uya', 'kuya', 'di', 'story', 'aguan', 'bahas', 'trump', 'berurat', 'banget', 'celetuk', 'emyu', 'fan', 'virnight', 'sambil', 'lihat', 'shaniweddingday', 'trending', 'absurd', 'banget', 'link']",minggu malam hujan deras squidward di tv bahas realmadrid vs manchester united azka cek lovescoutep uya kuya di story aguan bahas trump berurat banget celetuk emyu fan virnight lihat shaniweddingday trending absurd banget link
"['admin', 'suka', 'damai', 'nih', 'awokwokwok']",admin suka damai nih awokwokwok
"['minggu', 'iki', 'ora', 'pengin', 'opoopo', 'intine', 'emyu', 'menang', 'persik', 'ya', 'menang', 'prediksi', 'brighton', 'manchester', 'united', 'persik', 'emyu', 'cabang', 'maluku']",minggu iki ora pengin opoopo intine emyu menang persik ya menang prediksi brighton manchester united persik emyu cabang maluku
"['memang', 'suka', 'tantangan', 'fan', 'emyu', 'kayaknya', 'wazza', 'ngacu', 'ke', 'nick', 'wayne', 'rooney', 'fan', 'emyu', 'model', 'begini', 'enggak', 'dikit', 'cuma', 'enggak', 'semuanya', 'juga', 'cuman', 'biasanya', 'enggak', 'menyadar', 'kalo', 'dianya', 'bermasalah', 'n', 'enggak', 'menyadar', 'dia', 'sumber', 'masalah', 'karena', 'orang', 'enggak', 'mau', 'ribet', 'n', 'mendi']",suka tantangan fan emyu kayaknya wazza ngacu ke nick wayne rooney fan emyu model dikit cuman menyadar kalo dianya bermasalah n menyadar sumber orang ribet n mendi
"['starting', 'lineup', 'premierleague', 'mau', 'manchester', 'united', 'vs', 'chelsea', 'laga', 'debut', 'nistelrooy', 'sebagai', 'manager', 'interim', 'emyu', 'di', 'epl', 'amp']",starting lineup premierleague manchester united vs chelsea laga debut nistelrooy manager interim emyu di epl amp
"['walau', 'kamu', 'sedang', 'kayak', 'tahi', 'mainnya', 'subuh', 'besok', 'tetap', 'akan', 'ku', 'tonton', 'munlei']",kayak tahi mainnya subuh besok ku tonton munlei
"['minggu', 'malam', 'hujan', 'deras', 'squidward', 'di', 'tv', 'bahas', 'realmadrid', 'vs', 'manchester', 'united', 'azka', 'cek', 'lovescoutep', 'uya', 'kuya', 'di', 'story', 'aguan', 'bahas', 'trump', 'berurat', 'banget', 'celetuk', 'emyu', 'fan', 'virnight', 'sambil', 'lihat', 'shaniweddingday', 'trending', 'absurd', 'banget', 'link']",minggu malam hujan deras squidward di tv bahas realmadrid vs manchester united azka cek lovescoutep uya kuya di story aguan bahas trump berurat banget celetuk emyu fan virnight lihat shaniweddingday trending absurd banget link
"['papan', 'bawah', 'bahas', 'sejarah', 'lee']",papan bahas sejarah lee
"['wkwkwkwk', 'jersey', 'emyu']",wkwkwkwk jersey emyu
"['produk', 'emyu']",produk emyu
"['awas', 'kau', 'kalo', 'menang', 'pakai', 'kata', 'kata', 'ubur', 'ubur', 'ikan', 'lele']",awas kau kalo menang pakai ubur ubur ikan lele
"['kapan', 'out', 'nih', 'orang']",out nih orang
"['setiap', 'lihat', 'lineup', 'emyu', 'oke', 'ini', 'kayaknya', 'bakal', 'jadi', 'malam', 'panjang', 'lagi']",lihat lineup emyu oke kayaknya malam
"['selesai', 'itu', 'emyu']",selesai emyu
"['deh', 'ligt', 'dilaga', 'melawan', 'boznia', 'manchesterunited', 'deligt', 'kingemyu']",deh ligt dilaga melawan boznia manchesterunited deligt kingemyu
"['eth', 'di', 'akhir', 'musim', 'semua', 'akan', 'tau', 'kita', 'berada', 'dimana', 'gue', 'berharap', 'diakhir', 'musim', 'semua', 'sesuai', 'yang', 'dia', 'omongkan', 'tapi', 'ya', 'untuk', 'saat', 'ini', 'lu', 'harus', 'terima', 'kritik', 'kalau', 'memang', 'taktik', 'dan', 'pemain', 'tetap', 'jadi', 'masalah', 'manchesterunited', 'kingemyu']",eth di musim tau dimana gue berharap diakhir musim sesuai omongkan ya lu terima kritik taktik pemain manchesterunited kingemyu
"['list', 'pekerjaan', 'terekstrim', 'di', 'dunia', 'pelatih', 'emyu', 'manager', 'red', 'devils', 'headcoach', 'manchester', 'united']",list pekerjaan terekstrim di dunia pelatih emyu manager red devils headcoach manchester united
"['butuh', 'keberanian', 'dan', 'ketabahan', 'tingkat', 'tinggi', 'untuk', 'bersyukur', 'atas', 'mu', 'selamat', 'hari', 'senin', 'om', 'ario']",butuh keberanian ketabahan tingkat bersyukur mu selamat senin om ario
"['eth', 'dulu', 'waktu', 'aku', 'ngelatih', 'pemain', 'emyu', 'enggak', 'begini', 'jancok', 'manchesterunited', 'mu', 'premierleague']",eth ngelatih pemain emyu jancok manchesterunited mu premierleague
"['awal', 'suka', 'sama', 'manchester', 'united', 'pas', 'match', 'emyu', 'vs', 'middlesbrough', 'melihat', 'mainnya', 'ryan', 'giggs', 'jadi', 'keterusan', 'menonton', 'emyu', 'awal', 'suka', 'sama', 'persija', 'pas', 'ada', 'match', 'ujicoba', 'persipasi', 'bekasi', 'vs', 'persija', 'di', 'stadion', 'old', 'patriot', 'pas', 'awal', 'kebentuk', 'trio', 'abang']",suka manchester united pas match emyu vs middlesbrough mainnya ryan giggs keterusan menonton emyu suka persija pas match ujicoba persipasi bekasi vs persija di stadion old patriot pas kebentuk trio abang
"['selesai', 'buat', 'semua']",selesai
"['fan', 'emyu', 'nyanyi', 'ynwa']",fan emyu nyanyi ynwa
"['ra', 'paham', 'wis']",ra paham wis
"['newcastle', 'akan', 'mengalihkan', 'tergetnya', 'ke', 'antony', 'jika', 'pendekatan', 'mereka', 'untuk', 'elanga', 'gagal', 'manchester', 'united', 'akan', 'menjualnya', 'diangka', 'm', 'eddie', 'howe', 'percaya', 'mereka', 'akan', 'mendapaktan', 'dengan', 'harga', 'yang', 'sesuai', 'gue', 'doain', 'kekabul', 'deh', 'manchesterunited', 'antony']",newcastle mengalihkan tergetnya ke antony pendekatan elanga gagal manchester united menjualnya diangka m eddie howe percaya mendapaktan harga sesuai gue doain kekabul deh manchesterunited antony
"['lelaki', 'tidak', 'bercerita', 'mancity', 'manchesterunited', 'emyu', 'chelsea', 'amorim', 'bruno', 'mufc']",lelaki bercerita mancity manchesterunited emyu chelsea amorim bruno mufc
"['salah', 'satu', 'pemain', 'yang', 'punya', 'sound', 'khas', 'di', 'tiktok']",salah pemain sound khas di tiktok
"['wkwkwkwk', 'sampah']",wkwkwkwk sampah
"['memang', 'emyu', 'diam', 'saja', 'tetap', 'kena']",emyu diam kena
"['bubar', 'saja', 'mendingan']",bubar mendingan
"['enggak', 'semua', 'nya', 'kuat', 'kaya', 'fan', 'emyu', 'dan', 'bertahan', 'dari', 'bobrok', 'nya', 'tim', 'sejak', 'sampai', 'sekarang', 'kalian', 'luar', 'biasa', 'termasuk', 'saya', 'manchesterunited', 'mufc', 'mufcindonesia', 'ggmu']",nya kuat kaya fan emyu bertahan bobrok nya tim manchesterunited mufc mufcindonesia ggmu
"['ssk', 'temoke', 'emyu', 'ben', 'dibaleske', 'pul']",ssk temoke emyu ben dibaleske pul
"['degradasi', 'saja', 'lu', 'anjing', 'goblok', 'muncry']",degradasi lu anjing goblok muncry
